賓	賔
贊	賛
贋	贗
贓	贜
贋	赝
赱	走
趂	趁
跺	跥
路	路
蹤	踨
跡	蹟
躛	躗
體	躰
躲	躱
體	軆
轉	転
轟	軣
輕	軽
輧	軿
輛	輌
輦	輦
輪	輪
輻	輻
轀	輼
轢	轢
避	辟
辣	辢
辨	辧
辰	辰
邊	辺
遇	迂
逈	迥
逮	迨
疊	迭
逃	迯
徑	迳
遞	逓
徑	逕
連	連
逸	逸
達	逹
遠	逺
遲	遅
遲	遟
溯	遡
遼	遼
邊	邉
邏	邏
阝	邑
郉	邢
隙	郄
郞	郎
郎	郎
鄉	郷
都	都
鄉	鄕
隣	鄰
隣	鄰
酆	鄷
醉	酔
醞	酝
醋	酢
酬	酧
酪	酪
醞	醖
醱	醗
醬	醤
醴	醴
酬	醻
醸	釀
采	釆
釋	釈
量	量
钅	金
金	金
劍	釖
釡	釜
劍	釼
鉤	鈎
鍾	鈡
鐸	鈬
鈴	鈴
礦	鉱
鐵	銕
錢	銭
鋭	銳
锐	銳
鏽	銹
錽	鋄
鑄	鋳
録	錄
錄	錄
鍊	鍊
鐘	鍾
钟	鍾
鎮	鎭
鎖	鏁
剗	鏟
鐵	鐡
鑒	鑑
礦	鑛
罐	鑵
镋	钂
锡	钖
鉤	钩
缽	钵
鏽	锈
錋	镚
閉	閇
鬧	閙
關	関
閭	閭
閲	閱
阅	閱
閤	闔
關	闗
鬥	闘
閻	闫
閤	阖
阝	阜
阮	阮
陋	陋
降	降
隋	陏
陝	陜
陷	陥
陵	陵
險	険
隆	隆
隱	隠
隸	隷
鳫	雁
鴈	雁
雜	雑
鳮	雞
鶏	雞
鷄	雞
鸡	雞
離	離
零	零
雷	雷
靈	霊
露	露
靈	靈
青	靑
靝	靔
靖	靖
靜	靚
韌	靭
韌	靱
鞍	鞌
韭	韮
齏	韲
顧	頋
領	領
頸	頚
頉	頤
頰	頬
頽	頹
颓	頹
賴	頼
顏	顔
顯	顕
顛	顚
類	類
須	须
顏	颜
飃	飄
翻	飜
飠	食
饣	食
餁	飪
飲	飮
饮	飮
飯	飰
飼	飼
飾	餝
餅	餠
館	館
饋	餽
馈	餽
飢	饥
駄	馱
駮	駁
驛	駅
驅	駆
驅	駈
駝	駞
罵	駡
騈	駢
駱	駱
鬃	騌
騷	騒
驗	験
鬃	騣
驒	騨
驇	騺
罵	骂
鬃	骔
骪	骫
體	骵
髓	髄
臚	髗
髙	高
髮	髪
髥	髯
鬦	鬥
鬪	鬥
鬬	鬥
鬭	鬥
鬱	鬰
魯	魯
尟	鮮
鯊	鯋
鰍	鰌
鳁	鰛
鼈	鱉
龞	鱉
鱔	鱓
鱗	鱗
鳳	鳯
鵶	鴉
鷗	鴎
鶯	鴬
鸞	鵉
鵝	鵞
鷆	鷏
鷺	鷺
鹼	鹸
鹿	鹿
梺	麓
麟	麟
麵	麪
麹	麴
麺	麵
麽	麼
黎	黎
黒	黑
黙	默
鼌	鼂
鼡	鼠
齢	齡
龐	龎
豈	豈
車	車
賈	賈
龜	龜
龜	龜
懶	懶
亂	亂
爛	爛
蘭	蘭
鸞	鸞
濫	濫
藍	藍
臘	臘
蠟	蠟
盧	盧
菉	菉
賂	賂
累	累
縷	縷
凜	凜
綾	綾
諾	諾
寧	寧
泌	泌
數	數
瀋	沈
兩	兩
糧	糧
諒	諒
勵	勵
驪	驪
麗	麗
曆	曆
歷	歷
漣	漣
璉	璉
練	練
聯	聯
蓮	蓮
烈	烈
殮	殮
寧	寧
怜	怜
例	例
隸	隸
料	料
療	療
龍	龍
暈	暈
劉	劉
杻	杻
柳	柳
留	留
陸	陸
淪	淪
里	里
溺	溺
藺	藺
狀	狀
識	識
洞	洞
見	見
凞	凞
蘒	蘒
諸	諸
𧺯	﨣
飯	飯
鶴	鶴
𧥙	𣁀
𨬟	𨬕
